ticker,company,date,open,high,low,close,volume
SHEL,Shell,2021-01-04,30.998167372998,31.092231299365164,30.35254945641239,30.810039520263672,6794599
SHEL,Shell,2021-01-05,31.80198348168971,33.36258166023843,31.737851946404785,32.93074417114258,8518589
SHEL,Shell,2021-01-06,34.127910775083755,34.78635494997233,33.83289271137873,34.452857971191406,9180332
SHEL,Shell,2021-01-07,34.204875341953944,34.739326519171975,33.98681834828027,34.4956169128418,4829303
SHEL,Shell,2021-01-08,34.512716547397325,34.56402176796144,34.008194552321726,34.41010284423828,5546750
SHEL,Shell,2021-01-11,33.47802904086556,34.47612592674266,33.3839650949056,34.42721176147461,5699062
SHEL,Shell,2021-01-12,34.80346520151304,35.337916438446506,34.726504092913366,35.22247314453125,4737964
SHEL,Shell,2021-01-13,34.991579174038336,35.00868199986118,34.4699576655788,34.769248962402344,3531505
SHEL,Shell,2021-01-14,34.83765745274217,35.78683974404003,34.829104409506115,35.61581802368164,4177860
SHEL,Shell,2021-01-15,34.837663501321884,34.97448285858156,34.05950279527671,34.36734390258789,4973155
SHEL,Shell,2021-01-19,34.59822120977539,34.816278144106015,34.23051863895521,34.76069641113281,4130062
SHEL,Shell,2021-01-20,34.82911042093056,35.0086852155192,34.487063659147076,34.85476303100586,2696298
SHEL,Shell,2021-01-21,34.760699731256786,34.7949021214139,33.68752104359087,33.9910888671875,3495395
SHEL,Shell,2021-01-22,33.27278587082246,33.69607020727776,33.076108267398475,33.58917999267578,3795510
SHEL,Shell,2021-01-25,32.639995819231444,32.76398886513742,32.2038851595196,32.68275451660156,4152422
SHEL,Shell,2021-01-26,33.19581991585513,33.37967118847996,32.802464766714095,32.82811737060547,3597892
SHEL,Shell,2021-01-27,32.51172945673536,33.15307077180555,31.955899012195616,32.47752380371094,4865827
SHEL,Shell,2021-01-28,32.43476689856332,32.9249228585269,32.255192121369,32.69985580444336,4479223
SHEL,Shell,2021-01-29,32.16967915668371,32.319324809760296,31.400071542848185,31.545440673828125,4777888
SHEL,Shell,2021-02-01,31.54544321790354,31.605301483961618,30.99388925605622,31.314559936523438,5965508
SHEL,Shell,2021-02-02,31.571091719978195,31.72501388753422,30.81858696973808,30.929750442504883,8651487
SHEL,Shell,2021-02-03,30.570602405751433,31.75494458813534,30.553499579395456,31.545440673828125,7443705
SHEL,Shell,2021-02-04,31.049477681631796,31.38297470412562,30.60053737471706,31.297460556030273,6991247
SHEL,Shell,2021-02-05,32.06706009888697,32.31931940589046,31.80197122773869,32.049957275390625,6950835
SHEL,Shell,2021-02-08,32.21243638029632,33.00769990884164,32.21243638029632,32.94784164428711,6562795
SHEL,Shell,2021-02-09,33.0761048233823,33.0761048233823,32.50317163651595,32.69129943847656,4530155
SHEL,Shell,2021-02-10,32.400564411455676,32.87088074805346,32.09272004218271,32.785369873046875,4077347
SHEL,Shell,2021-02-11,32.067067249065595,32.118375730995176,31.665158962360795,31.913145065307617,4616931
SHEL,Shell,2021-02-12,31.819086311776125,32.96494983131541,31.793433697662152,32.93074417114258,4076934
SHEL,Shell,2021-02-16,34.09370500645225,34.585400690308035,34.00819413188201,34.3331413269043,5631118
SHEL,Shell,2021-02-17,34.4186460110598,34.72649032339411,34.02529083953493,34.68373489379883,3916612
